iter	MultiClass
0	1.055281405
1	1.020869626
2	0.989389985
3	0.9572796555
4	0.929369802
5	0.9050459002
6	0.8841273593
7	0.8668492887
8	0.8467792279
9	0.8271770991
10	0.8103438232
11	0.7987036254
12	0.7829711553
13	0.7710416816
14	0.7552539467
15	0.7417172506
16	0.7315901798
17	0.7202105679
18	0.7129196252
19	0.7039862445
20	0.6938453607
21	0.6826935628
22	0.6732869025
23	0.6692257255
24	0.6591765107
25	0.6512068523
26	0.6468355248
27	0.6422008553
28	0.6344214904
29	0.6257672231
30	0.6194812025
31	0.6145202007
32	0.6092240342
33	0.604771429
34	0.5975283841
35	0.5907142316
36	0.5847707827
37	0.5803722116
38	0.574829284
39	0.5703903285
40	0.5637464007
41	0.5568570024
42	0.5533617371
43	0.5485478237
44	0.5452159406
45	0.539949314
46	0.5342731707
47	0.5293225691
48	0.5250605935
49	0.5211694599
50	0.5176165472
51	0.5142203734
52	0.509457725
53	0.5058466936
54	0.5037220891
55	0.4989786206
56	0.4974607465
57	0.494323326
58	0.4913027947
59	0.4884918266
60	0.4825745421
61	0.4799146488
62	0.4756583098
63	0.4740436963
64	0.4728744119
65	0.4715895494
66	0.4706193286
67	0.4675743381
68	0.4656349508
69	0.4628405414
70	0.4610713851
71	0.4586444601
72	0.456664015
73	0.4540836256
74	0.4509096903
75	0.4504777952
76	0.4480781288
77	0.4449479104
78	0.4420703103
79	0.4405231877
80	0.4378437377
81	0.4350572672
82	0.4329459373
83	0.4320503835
84	0.4292385871
85	0.4270845968
86	0.4241776127
87	0.4219183258
88	0.4206269912
89	0.4193489921
90	0.4172642899
91	0.4149592375
92	0.4135952464
93	0.4119345732
94	0.4090333592
95	0.4071042466
96	0.4054230839
97	0.403983182
98	0.4007050941
99	0.3984921474
100	0.3965322155
101	0.3951960522
102	0.3929886095
103	0.3912354584
104	0.3894116109
105	0.3872238674
106	0.3851015768
107	0.3829347535
108	0.3811979527
109	0.3795450495
110	0.3774199349
111	0.3754929474
112	0.3735722365
113	0.3722181827
114	0.3702085312
115	0.3685539684
116	0.367502784
117	0.3658818774
118	0.3644264051
119	0.3629874529
120	0.3616728049
121	0.3600536765
122	0.3585075176
123	0.3572277337
124	0.3555086307
125	0.3535606062
126	0.3520016811
127	0.3515840123
128	0.350042868
129	0.3484810789
130	0.3466970583
131	0.3458817413
132	0.344140594
133	0.3424847367
134	0.3416237098
135	0.340238009
136	0.3387179416
137	0.3373355349
138	0.3363322317
139	0.3348982987
140	0.3334765999
141	0.3324746675
142	0.3312132401
143	0.3302434921
144	0.3293117716
145	0.3276907532
146	0.3265057663
147	0.3249826731
148	0.3238997669
149	0.3230056092
150	0.321799101
151	0.3212485789
152	0.3203940778
153	0.3190176973
154	0.3177353819
155	0.3169470888
156	0.3155771365
157	0.3144363708
158	0.313252835
159	0.3123424255
160	0.3115419756
161	0.3105697715
162	0.3094655181
163	0.3085524085
164	0.3074980645
165	0.3066076926
166	0.3054517969
167	0.3042247667
168	0.3033427895
169	0.3023413105
170	0.3014230913
171	0.3004616003
172	0.2994757879
173	0.2984978265
174	0.2976152948
175	0.2967709025
176	0.2955358649
177	0.2947572553
178	0.2936902035
179	0.292962347
180	0.2921698553
181	0.2913218792
182	0.2905347019
183	0.2899066104
184	0.2889312196
185	0.28837127
186	0.2876730344
187	0.2869965211
188	0.286249808
189	0.2851909024
190	0.284494451
191	0.2837298
192	0.2827929144
193	0.281986244
194	0.2811422285
195	0.2805378112
196	0.2798976096
197	0.2789525508
198	0.2780111352
199	0.2773149039
200	0.276454373
201	0.2758017249
202	0.2754257427
203	0.2746998278
204	0.2740835709
205	0.2735092753
206	0.2727699068
207	0.2720186464
208	0.2713782188
209	0.2706302051
210	0.2701494173
211	0.2698590371
212	0.2691575896
213	0.2684322518
214	0.2676032074
215	0.267116414
216	0.2666218968
217	0.2662026784
218	0.2658193032
219	0.265301911
220	0.2645818357
221	0.2640822999
222	0.263734604
223	0.2631449537
224	0.262576567
225	0.2619349745
226	0.2614930006
227	0.2608765963
228	0.2603821066
229	0.2600555117
230	0.2596884257
231	0.25924569
232	0.25859898
233	0.2578756831
234	0.2572254256
235	0.2567516401
236	0.2561426906
237	0.2553940228
238	0.2550337454
239	0.2544970676
240	0.2540494514
241	0.25347585
242	0.2529898905
243	0.2525496184
244	0.2519618432
245	0.2512768067
246	0.2508166124
247	0.2504132274
248	0.2499198012
249	0.249213774
250	0.2488375477
251	0.2485111715
252	0.248129684
253	0.247871117
254	0.24755923
255	0.2472373849
256	0.2468586509
257	0.246483251
258	0.2461985051
259	0.2457269512
260	0.2451940363
261	0.2446402402
262	0.2441071678
263	0.2437684568
264	0.243341014
265	0.2428667522
266	0.2423992645
267	0.2421644428
268	0.2414330831
269	0.2410518716
270	0.2406318481
271	0.2403327839
272	0.2400042679
273	0.2394566197
274	0.2390942564
275	0.2385651514
276	0.238203692
277	0.23776398
278	0.2373992815
279	0.2369618468
280	0.2366702944
281	0.2363537634
282	0.2359281453
283	0.2354758596
284	0.2351244275
285	0.2347221274
286	0.2342180717
287	0.2338605996
288	0.2335386942
289	0.2332060443
290	0.232726717
291	0.2324277506
292	0.2322234694
293	0.2319431695
294	0.2316841217
295	0.2311981888
296	0.2308641791
297	0.230437408
298	0.2300178839
299	0.2297390884
300	0.2293114403
301	0.2289839955
302	0.2285045624
303	0.2283153934
304	0.2280212557
305	0.2277300217
306	0.2273040287
307	0.2269885669
308	0.2267438496
309	0.2264652574
310	0.2260666393
311	0.2258462599
312	0.2255002992
313	0.225228731
314	0.2249814812
315	0.2246454513
316	0.2243548217
317	0.2240676302
318	0.2237255917
319	0.2234363761
320	0.2232053194
321	0.2229213297
322	0.2224247471
323	0.2221248871
324	0.2218448525
325	0.2214899721
326	0.2209385181
327	0.2206827832
328	0.2204061325
329	0.2201904659
330	0.2199885552
331	0.2197701825
332	0.2194357905
333	0.2190312616
334	0.2187411209
335	0.2184310368
336	0.2181796084
337	0.2177726558
338	0.2174796557
339	0.2172601138
340	0.2168838216
341	0.2166497688
342	0.2163777372
343	0.2160597221
344	0.2158433836
345	0.2156424648
346	0.2154201781
347	0.215221059
348	0.2150248717
349	0.2147725314
350	0.2145230365
351	0.2143312938
352	0.2141101612
353	0.213949299
354	0.2138032885
355	0.2135155732
356	0.2133410986
357	0.2131612291
358	0.2129818479
359	0.2126386961
360	0.2123783924
361	0.2121697159
362	0.2118882391
363	0.2117036389
364	0.2114969062
365	0.2112397294
366	0.2111379167
367	0.210966769
368	0.2107503179
369	0.2105166747
370	0.21026862
371	0.2100845027
372	0.2099071471
373	0.209730646
374	0.2095871932
375	0.2093733756
376	0.2091918108
377	0.2089846107
378	0.2087157671
379	0.2085332722
380	0.2081624572
381	0.2080005333
382	0.2078744595
383	0.2077195019
384	0.2075555492
385	0.2074355594
386	0.2071484088
387	0.2068954134
388	0.2066520814
389	0.2064741367
390	0.206323565
391	0.2061184124
392	0.205994107
393	0.2058163661
394	0.2056298005
395	0.2054916385
396	0.2053774307
397	0.2049725554
398	0.2047944074
399	0.2046486143
400	0.2043174525
401	0.2040246322
402	0.2037530985
403	0.2036263485
404	0.20348466
405	0.2032918168
406	0.2031493368
407	0.2030407354
408	0.2027421634
409	0.2026130707
410	0.2024065101
411	0.2022363431
412	0.2020803236
413	0.2019175888
414	0.2017813232
415	0.2015556296
416	0.2013446335
417	0.2010646863
418	0.2007998546
419	0.200654093
420	0.2004501531
421	0.2003199919
422	0.2001633442
423	0.1999829197
424	0.1998662598
425	0.1996390581
426	0.1994161218
427	0.1992338908
428	0.1990387579
429	0.1988682431
430	0.1987207538
431	0.1984937968
432	0.1983345435
433	0.1982202497
434	0.1980920384
435	0.1979442039
436	0.1978242621
437	0.1976378993
438	0.1974558794
439	0.1973043671
440	0.1971350899
441	0.197014077
442	0.1968364702
443	0.1967350879
444	0.1965059419
445	0.1963316191
446	0.1962501297
447	0.1961343308
448	0.1960130706
449	0.1959338655
450	0.1958202617
451	0.1956692459
452	0.1955386352
453	0.1954573842
454	0.1953714601
455	0.1952526699
456	0.1951630655
457	0.1950932153
458	0.1949662958
459	0.194826459
460	0.1945532002
461	0.1943820199
462	0.1942163293
463	0.1940965051
464	0.1939486167
465	0.1937687853
466	0.1936244729
467	0.1934299159
468	0.1932647334
469	0.1931673342
470	0.1929931737
471	0.192769294
472	0.19266998
473	0.1925359756
474	0.1923646133
475	0.1922102057
476	0.1919764987
477	0.1917347538
478	0.1916396972
479	0.1915855256
480	0.1914734381
481	0.1913583852
482	0.1912725055
483	0.1911057567
484	0.1909833754
485	0.1908298314
486	0.1907212309
487	0.1906563567
488	0.1905102995
489	0.1904151679
490	0.190307729
491	0.1901970868
492	0.1901119771
493	0.1899643321
494	0.1898705095
495	0.18969349
496	0.1895819164
497	0.1894866583
498	0.1893746213
499	0.1892558661
500	0.1890725166
501	0.1888782848
502	0.188815398
503	0.1886675294
504	0.1885565185
505	0.1883991683
506	0.1882749924
507	0.188135572
508	0.1880272647
509	0.1878140556
510	0.1877338697
511	0.1876610658
512	0.1875861202
513	0.1874148402
514	0.1873566014
515	0.1872434806
516	0.187061366
517	0.1869128268
518	0.1866100021
519	0.1865399037
520	0.1864222208
521	0.186274977
522	0.1860962784
523	0.1859758347
524	0.1858325792
525	0.1857640608
526	0.1856146191
527	0.1855364821
528	0.1853997675
529	0.1852532721
530	0.1851682769
531	0.1849999223
532	0.1849279447
533	0.1848445075
534	0.1847134541
535	0.1845249122
536	0.1843899589
537	0.1843070644
538	0.1842022745
539	0.1840641982
540	0.1838512746
541	0.1837578812
542	0.1836225989
543	0.1834209484
544	0.1833527635
545	0.183294438
546	0.1832233638
547	0.1831181106
548	0.1830551475
549	0.1829345057
550	0.1827765765
551	0.1827212424
552	0.1826119523
553	0.182554895
554	0.1824810236
555	0.1824062679
556	0.1823332868
557	0.1822441083
558	0.1821931937
559	0.1820615601
560	0.1819641765
561	0.1818557993
562	0.1817228684
563	0.1815804655
564	0.1815303741
565	0.1813846158
566	0.1813390398
567	0.1812823964
568	0.1811892927
569	0.1810897332
570	0.1809641413
571	0.1808218018
572	0.1806988751
573	0.180618519
574	0.1805747715
575	0.1804679175
576	0.1804052025
577	0.1803338576
578	0.1801989126
579	0.1800551146
580	0.1798972289
581	0.1798098758
582	0.1796829853
583	0.1795972922
584	0.1795021107
585	0.1793994004
586	0.1793125103
587	0.1792558813
588	0.179175627
589	0.179103798
590	0.179017285
591	0.1788908919
592	0.1787938666
593	0.1787172554
594	0.17865094
595	0.1786021184
596	0.1785494594
597	0.1784872382
598	0.1784012748
599	0.1783169844
600	0.1782677792
601	0.178178441
602	0.1780757662
603	0.1779608486
604	0.1778044616
605	0.1777354599
606	0.177643703
607	0.1775784671
608	0.1774743246
609	0.177387783
610	0.1773177149
611	0.1772313733
612	0.1771632231
613	0.1771260767
614	0.1770084317
615	0.1769329188
616	0.1768536646
617	0.1768175374
618	0.1767444744
619	0.1766956466
620	0.176604137
621	0.1764659496
622	0.1764142167
623	0.1762525662
624	0.1761686587
625	0.1761196335
626	0.1760392126
627	0.1759361174
628	0.1758798111
629	0.1758458828
630	0.1757918572
631	0.175742323
632	0.1756881821
633	0.1756217709
634	0.175542413
635	0.1754700505
636	0.1754356592
637	0.1753862639
638	0.1753220617
639	0.1752263121
640	0.1751785722
641	0.1751448213
642	0.1750829316
643	0.1750420128
644	0.1749604462
645	0.1749278626
646	0.1748443418
647	0.1747336743
648	0.1746661288
649	0.1745711594
650	0.1745394447
651	0.1744406809
652	0.1743967219
653	0.1743662367
654	0.1743364192
655	0.1742313815
656	0.1741557124
657	0.1740944753
658	0.174005253
659	0.1739298606
660	0.1738066268
661	0.1737778985
662	0.1737163539
663	0.1736200145
664	0.1735653639
665	0.173493845
666	0.1734193077
667	0.1733408633
668	0.1733144652
669	0.1732909577
670	0.1732423655
671	0.1731880575
672	0.1730995545
673	0.1729785314
674	0.1729514178
675	0.1728729668
676	0.1728102958
677	0.1727522362
678	0.1726977334
679	0.1726496807
680	0.1725691352
681	0.1725064447
682	0.1724211725
683	0.1723938951
684	0.1723574334
685	0.1723326153
686	0.1722553997
687	0.1721936237
688	0.1721698988
689	0.1720942691
690	0.1720273442
691	0.1719661323
692	0.1719079254
693	0.1718307773
694	0.1718073842
695	0.1717344459
696	0.1717116329
697	0.1715751558
698	0.1714332356
699	0.1713571097
700	0.171322536
701	0.171254932
702	0.1711725587
703	0.17113166
704	0.1710360385
705	0.1709420844
706	0.1708950648
707	0.1708394844
708	0.1707419613
709	0.1707127613
710	0.1705949708
711	0.1705451507
712	0.1704992043
713	0.1704155612
714	0.1703930575
715	0.1703611957
716	0.1703143534
717	0.1702508025
718	0.1701647135
719	0.1701428169
720	0.1700540687
721	0.1699293554
722	0.1698792309
723	0.1697917957
724	0.1697401257
725	0.1697182331
726	0.1696671728
727	0.1696328663
728	0.1695949252
729	0.169530917
730	0.1695098973
731	0.1694365094
732	0.1694078388
733	0.1693241801
734	0.1692167093
735	0.1691732322
736	0.1691157471
737	0.1690806253
738	0.1689987117
739	0.1689555684
740	0.168932658
741	0.1688829315
742	0.168809644
743	0.1687873043
744	0.1687411858
745	0.1686432461
746	0.1686233015
747	0.1685584108
748	0.1684786983
749	0.1684056801
750	0.168372537
751	0.168345567
752	0.1682593068
753	0.1681720469
754	0.1681508237
755	0.1681316611
756	0.1680797183
757	0.1680543147
758	0.1680082513
759	0.1679872003
760	0.1679596821
761	0.1678872286
762	0.1678058919
763	0.1677504616
764	0.1677318928
765	0.1676928627
766	0.1676142435
767	0.1675635393
768	0.1675304063
769	0.1673986531
770	0.1673204356
771	0.1672593514
772	0.1672135908
773	0.1671679599
774	0.1670919845
775	0.1670490692
776	0.1669968397
777	0.1669384987
778	0.1668925304
779	0.1668361944
780	0.1667916461
781	0.1667532414
782	0.1666760387
783	0.1666113252
784	0.1665630847
785	0.1665087795
